,x,y,command
536,422.3722054256243,387.29982931466236,1
537,423.90500006467437,392.0590877227023,1
538,425.43779470372436,396.8183461307424,1
539,426.9705893427744,401.57760453878234,1
540,428.50338398182447,406.3368629468224,0
541,430.0361786208745,411.09612135486236,0
542,431.5689732599246,415.85537976290243,0
543,433.1017678989746,420.6146381709424,0
544,434.6345625380246,425.37389657898234,0
545,436.1673571770747,430.1331549870223,0
546,437.70015181612473,434.89241339506236,0
547,439.2329464551748,439.6516718031023,0
548,440.7657410942248,444.4109302111424,0
549,442.29853573327483,449.17018861918234,0
550,443.8313303723249,453.9294470272224,1
551,445.36412501137494,458.68870543526236,1
552,446.896919650425,463.44796384330243,1
553,448.429714289475,468.2072222513424,1
554,449.96250892852504,472.96648065938234,1
555,451.4953035675751,477.7257390674224,1
556,453.02809820662515,482.48499747546236,1
557,454.5608928456752,487.2442558835023,1
558,456.09368748472525,492.0035142915424,1
559,457.6264821237753,496.76277269958234,1
560,459.1592767628253,501.5220311076224,0
561,459.434999297485,502.3781371755418,0
562,459.69349461234214,503.34371840806017,0
563,459.8855868796169,504.32497898608557,0
564,460.1563018522974,505.2872057514384,0
565,460.5217267632919,506.21759899024636,0
566,460.97821040768304,507.10686252081433,0
567,461.52119175178956,507.9461111158964,0
568,462.14524550550686,508.7269592809491,0
569,462.8441363300126,509.4416050392213,0
570,463.6108811392109,510.082907886527,1
571,464.4378188724204,510.64446013680225,1
572,465.31668704116004,511.12065094558693,1
573,466.2387042852031,511.50672237172734,1
574,467.1946581130254,511.7988169171518,1
575,468.1749969499757,511.994016069716,1
576,469.1699255744521,512.0903694640118,1
577,470.16950298851856,512.0869143687736,1
578,471.16374174507,511.9836853061709,1
579,472.1427077391027,511.7817137068742,1
580,473.0966194660074,511.48301760434083,0
581,474.01594575513,511.09058147129144,0
582,474.8915010020787,510.6083263998453,0
583,475.71453694824595,510.04107092326404,0
584,476.4768300905171,509.3944828707598,0
585,477.17076384779534,508.6750227364198,0
586,477.78940466336184,507.8898791280843,0
587,478.32657128268295,507.0468969411539,0
588,478.77689651446207,506.1544989749875,0
589,479.135880857841,505.2216017750755,0
590,479.39993745992524,504.25752654186465,1
591,479.56642795443213,503.2719059964042,1
592,479.63368882337505,502.27458813338166,1
